k,F1 Score,Accuracy,Precision,Recall
1,0.5454545454545454,0.5897435897435898,0.5274725274725275,0.5647058823529412
2,0.48484848484848475,0.6512820512820513,0.6808510638297872,0.3764705882352941
3,0.5698924731182795,0.5897435897435898,0.5247524752475248,0.6235294117647059
4,0.575,0.6512820512820513,0.6133333333333333,0.5411764705882353
5,0.6129032258064516,0.6307692307692307,0.5643564356435643,0.6705882352941176
6,0.5813953488372092,0.6307692307692307,0.5747126436781609,0.5882352941176471
7,0.5978260869565217,0.6205128205128205,0.5555555555555556,0.6470588235294118
8,0.5595238095238094,0.6205128205128205,0.5662650602409639,0.5529411764705883
9,0.6282722513089005,0.6358974358974359,0.5660377358490566,0.7058823529411765
10,0.5921787709497206,0.6256410256410256,0.5638297872340425,0.6235294117647059
11,0.6256410256410256,0.6256410256410256,0.5545454545454546,0.7176470588235294
12,0.6448087431693988,0.6666666666666666,0.6020408163265306,0.6941176470588235
13,0.649746192893401,0.6461538461538462,0.5714285714285714,0.7529411764705882
14,0.6304347826086957,0.6512820512820513,0.5858585858585859,0.6823529411764706
15,0.649746192893401,0.6461538461538462,0.5714285714285714,0.7529411764705882
16,0.6276595744680851,0.6410256410256411,0.5728155339805825,0.6941176470588235
17,0.6372549019607843,0.6205128205128205,0.5462184873949579,0.7647058823529411
18,0.625,0.6307692307692307,0.5607476635514018,0.7058823529411765
19,0.6534653465346534,0.6410256410256411,0.5641025641025641,0.7764705882352941
20,0.6391752577319587,0.6410256410256411,0.5688073394495413,0.7294117647058823
21,0.6534653465346534,0.6410256410256411,0.5641025641025641,0.7764705882352941
22,0.6424870466321243,0.6461538461538462,0.5740740740740741,0.7294117647058823
23,0.6534653465346534,0.6410256410256411,0.5641025641025641,0.7764705882352941
24,0.6288659793814433,0.6307692307692307,0.5596330275229358,0.7176470588235294
25,0.6336633663366337,0.6205128205128205,0.5470085470085471,0.7529411764705882
