k,F1 Score,Accuracy,Precision,Recall
1,0.4685714285714286,0.5230769230769231,0.45555555555555555,0.4823529411764706
2,0.33333333333333337,0.5487179487179488,0.46808510638297873,0.25882352941176473
3,0.5348837209302326,0.5897435897435898,0.5287356321839081,0.5411764705882353
4,0.4900662251655629,0.6051282051282051,0.5606060606060606,0.43529411764705883
5,0.5421686746987951,0.6102564102564103,0.5555555555555556,0.5294117647058824
6,0.489795918367347,0.6153846153846154,0.5806451612903226,0.4235294117647059
7,0.562874251497006,0.6256410256410256,0.573170731707317,0.5529411764705883
8,0.4966442953020134,0.6153846153846154,0.578125,0.43529411764705883
9,0.5542168674698795,0.6205128205128205,0.5679012345679012,0.5411764705882353
10,0.49333333333333335,0.6102564102564103,0.5692307692307692,0.43529411764705883
11,0.5317919075144507,0.5846153846153846,0.5227272727272727,0.5411764705882353
12,0.5063291139240506,0.6,0.547945205479452,0.47058823529411764
13,0.5476190476190476,0.6102564102564103,0.5542168674698795,0.5411764705882353
14,0.5316455696202531,0.6205128205128205,0.5753424657534246,0.49411764705882355
15,0.5614035087719299,0.6153846153846154,0.5581395348837209,0.5647058823529412
16,0.5341614906832297,0.6153846153846154,0.5657894736842105,0.5058823529411764
17,0.5599999999999999,0.6051282051282051,0.5444444444444444,0.5764705882352941
18,0.5301204819277108,0.6,0.5432098765432098,0.5176470588235295
19,0.569767441860465,0.6205128205128205,0.5632183908045977,0.5764705882352941
20,0.5595238095238094,0.6205128205128205,0.5662650602409639,0.5529411764705883
21,0.5828571428571429,0.6256410256410256,0.5666666666666667,0.6
22,0.5730994152046784,0.6256410256410256,0.5697674418604651,0.5764705882352941
23,0.5714285714285715,0.6153846153846154,0.5555555555555556,0.5882352941176471
24,0.569767441860465,0.6205128205128205,0.5632183908045977,0.5764705882352941
25,0.5828571428571429,0.6256410256410256,0.5666666666666667,0.6
